age,income,home_ownership_enc,emplyment_length,loan_intent_enc,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_enc,credit_history_length,loan_approval_status
40.0,50000,3,2,5,15000,11.26,0.3,0,15,0
40.0,60000,3,2,3,15000,13.11,0.25,1,14,0
40.0,150000,3,8,2,15000,10.25,0.1,0,13,0
40.0,60000,3,4,2,15000,14.96,0.25,1,16,0
40.0,110000,3,2,0,15000,5.42,0.14,0,12,0
40.0,90000,3,1,3,15000,14.26,0.17,1,15,0
40.0,50000,3,6,1,15000,16.89,0.3,0,17,0
40.0,60000,2,20,2,15000,13.43,0.25,1,13,0
40.0,69996,2,2,1,15000,12.84,0.21,0,11,0
40.0,70000,0,5,1,15000,14.26,0.21,1,15,0
40.0,53000,0,2,2,15000,10.62,0.28,0,15,0
40.0,58000,0,16,4,15000,10.25,0.26,0,14,0
40.0,100000,0,4,2,15000,11.49,0.15,0,13,0
40.0,135000,0,0,4,15000,13.47,0.11,1,17,0
40.0,63000,0,3,2,15000,10.25,0.24,0,17,0
40.0,48000,0,17,3,14750,9.91,0.29,0,15,0
40.0,42000,0,13,1,14500,7.88,0.33,0,13,0
40.0,57000,3,0,0,14400,11.71,0.25,0,12,0
40.0,75000,3,2,1,14400,14.72,0.19,1,16,0
40.0,110000,3,5,4,14000,5.42,0.13,0,11,0
40.0,54996,3,1,5,14000,10.37,0.25,0,15,0
40.0,180000,0,6,3,14000,14.27,0.08,1,14,0
40.0,86500,2,24,1,14000,7.29,0.16,0,12,0
40.0,140000,3,5,2,14000,7.88,0.1,0,13,0
40.0,70000,3,3,0,14000,13.49,0.2,1,12,0
40.0,117600,0,8,0,14000,13.48,0.12,0,17,0
40.0,60000,3,2,2,14000,12.53,0.23,0,15,0
40.0,180000,0,8,1,14000,11.99,0.08,0,11,0
40.0,115000,0,12,0,14000,6.03,0.12,0,16,0
40.0,115000,0,16,5,14000,6.03,0.12,0,13,0
40.0,54000,0,2,2,13200,7.88,0.25,0,16,0
40.0,63996,0,8,3,13000,10.25,0.2,0,17,0
40.0,48000,3,5,5,13000,5.79,0.25,0,11,0
40.0,101877,3,8,2,12800,7.88,0.12,0,14,0
40.0,52000,3,2,2,12800,10.99,0.25,0,17,0
40.0,90000,0,19,5,12000,12.61,0.13,0,13,0
40.0,60000,0,15,4,12000,14.27,0.2,0,16,0
40.0,65000,0,7,3,12000,8.94,0.18,0,12,0
40.0,60000,3,5,2,12000,11.71,0.2,0,14,0
40.0,40000,3,2,1,12000,7.9,0.3,0,11,0
40.0,60000,3,5,4,12000,11.71,0.2,0,13,0
40.0,50000,3,4,2,12000,13.99,0.24,1,16,0
40.0,132000,3,1,2,12000,12.87,0.09,0,16,0
40.0,55000,0,3,1,12000,15.2,0.22,0,14,0
40.0,53000,3,7,4,12000,16.77,0.23,0,16,0
40.0,150000,0,5,5,12000,7.29,0.08,0,17,0
40.0,60000,3,6,4,12000,13.49,0.2,0,16,0
40.0,54000,3,4,0,12000,11.36,0.22,0,17,0
40.0,180000,3,2,0,12000,7.51,0.07,0,13,0
40.0,75000,0,7,4,12000,7.88,0.17,0,13,0
40.0,55000,3,3,1,12000,14.27,0.22,0,15,0
40.0,110000,0,0,3,12000,10.37,0.11,0,15,0
40.0,50000,0,6,0,12000,10.37,0.24,0,14,0
40.0,130000,0,3,4,12000,9.91,0.09,0,15,0
40.0,75000,0,3,3,12000,7.51,0.16,0,13,0
40.0,90000,0,11,1,12000,10.0,0.13,0,11,0
40.0,100000,0,0,2,12000,8.59,0.12,0,15,0
40.0,72000,3,3,4,12000,14.27,0.17,1,15,0
40.0,38000,2,10,5,12000,5.42,0.32,0,16,0
40.0,85000,2,16,5,12000,7.51,0.14,0,14,0
40.0,123735,0,8,4,12000,7.88,0.1,0,12,0
40.0,110000,3,1,5,12000,6.99,0.11,0,15,0
40.0,130000,0,6,3,11800,11.14,0.09,0,13,0
40.0,65000,3,6,3,11500,12.87,0.18,1,17,0
40.0,40000,3,0,4,11500,14.26,0.28,0,12,0
40.0,95000,0,3,2,11200,14.27,0.12,0,16,0
40.0,50000,0,5,5,11000,5.99,0.22,0,14,0
40.0,130000,0,1,4,11000,10.99,0.08,0,12,0
40.0,125000,3,3,5,10200,8.49,0.08,0,17,0
40.0,74000,3,7,3,10200,12.53,0.14,0,17,0
40.0,57600,3,1,4,10000,13.61,0.17,0,11,0
40.0,60000,0,12,0,10000,7.14,0.17,0,14,0
40.0,50000,0,2,1,10000,15.28,0.2,1,17,0
40.0,120000,0,2,2,10000,10.37,0.08,0,12,0
40.0,90000,3,1,3,10000,11.86,0.11,0,12,0
40.0,35640,0,2,3,10000,7.88,0.28,0,11,0
40.0,150000,0,8,3,10000,7.29,0.07,0,12,0
40.0,82000,2,10,1,10000,9.99,0.12,0,11,0
40.0,63000,0,0,3,10000,10.74,0.16,0,14,0
40.0,102000,0,2,3,10000,9.63,0.1,0,14,0
40.0,36000,0,3,4,10000,5.99,0.28,0,17,0
40.0,175500,0,2,2,10000,12.18,0.06,0,15,0
40.0,125000,3,3,1,10000,14.27,0.08,0,15,0
40.0,42000,3,4,5,10000,7.9,0.24,0,15,0
40.0,85000,0,18,3,10000,9.99,0.12,0,12,0
40.0,98000,0,5,5,10000,11.48,0.1,0,11,0
40.0,60000,0,12,5,10000,10.36,0.17,0,16,0
40.0,75996,0,15,3,10000,6.91,0.13,0,16,0
40.0,200000,0,2,0,10000,7.9,0.05,0,14,0
40.0,40000,0,4,3,10000,5.99,0.25,0,16,0
40.0,75000,0,0,1,10000,10.95,0.13,0,14,0
40.0,60000,3,5,3,10000,10.59,0.17,0,17,0
40.0,44000,3,4,5,10000,6.62,0.23,0,17,0
40.0,50000,3,5,5,10000,6.62,0.2,0,16,0
40.0,70000,3,2,1,10000,10.65,0.14,0,12,0
40.0,38004,3,4,3,10000,9.63,0.26,0,13,0
40.0,120000,0,2,3,10000,11.99,0.08,0,11,0
40.0,60000,3,2,5,10000,13.43,0.17,1,14,0
40.0,100000,2,16,3,10000,7.49,0.1,0,17,0
40.0,60000,0,4,2,10000,7.88,0.17,0,16,0
40.0,112500,0,2,2,10000,10.25,0.09,0,12,0
40.0,108288,0,13,0,10000,10.37,0.09,0,14,0
40.0,39000,0,6,2,10000,11.48,0.26,0,15,0
40.0,150000,0,5,1,10000,7.9,0.07,0,13,0
40.0,60000,3,5,2,10000,13.43,0.17,0,17,0
40.0,80000,0,3,2,10000,11.49,0.13,0,17,0
40.0,67000,3,13,0,10000,10.74,0.15,0,14,0
40.0,50000,3,3,2,10000,6.62,0.2,0,15,0
40.0,70000,0,2,1,10000,14.27,0.14,1,12,0
40.0,115000,3,16,1,9975,7.49,0.09,0,14,0
40.0,114000,3,2,5,9975,11.49,0.09,0,16,0
40.0,106000,0,19,1,9600,9.99,0.09,0,14,0
40.0,45760,0,2,4,9125,11.11,0.2,0,11,0
40.0,75000,0,2,5,9000,5.79,0.12,0,14,0
40.0,118000,0,1,5,9000,14.11,0.07,0,14,0
40.0,92700,3,1,1,9000,9.63,0.1,0,11,0
40.0,65000,0,5,3,9000,10.99,0.14,0,13,0
40.0,170000,0,18,2,9000,9.45,0.05,0,11,0
40.0,45000,3,0,2,9000,12.61,0.19,1,13,0
40.0,110000,0,3,4,9000,13.72,0.08,1,15,0
40.0,68000,0,4,1,8700,15.58,0.12,1,16,0
40.0,28800,2,0,5,8000,10.38,0.28,0,17,0
40.0,62000,0,3,2,8000,14.83,0.13,0,15,0
40.0,35000,2,2,4,8000,16.29,0.23,1,13,0
40.0,55000,0,2,5,8000,12.53,0.15,0,13,0
40.0,60000,3,1,2,8000,13.57,0.13,0,12,0
40.0,48000,3,15,0,8000,9.25,0.17,0,14,0
40.0,55000,0,5,4,8000,8.49,0.15,0,14,0
40.0,60000,3,6,4,8000,10.37,0.13,0,11,0
40.0,50000,0,5,3,8000,5.99,0.16,0,11,0
40.0,69996,3,1,3,8000,9.32,0.11,0,16,0
40.0,87000,3,2,1,8000,12.21,0.09,0,11,0
40.0,70000,2,11,2,8000,13.61,0.11,0,15,0
40.0,61500,3,3,3,8000,10.37,0.13,0,17,0
40.0,38400,3,2,4,8000,12.42,0.21,0,11,0
40.0,89440,2,8,2,8000,11.86,0.09,0,16,0
40.0,150000,0,3,2,8000,9.62,0.05,0,17,0
40.0,30000,3,0,3,8000,9.63,0.27,0,14,0
40.0,60000,3,5,4,8000,7.51,0.13,0,15,0
40.0,45000,3,3,3,8000,10.38,0.18,0,17,0
40.0,40000,3,2,5,8000,11.36,0.2,0,14,0
40.0,90000,0,12,5,8000,7.66,0.09,0,14,0
40.0,115600,0,4,2,8000,7.88,0.07,0,11,0
40.0,85000,0,18,5,8000,7.88,0.09,0,17,0
40.0,36000,3,5,3,7600,6.03,0.21,0,14,0
40.0,55000,3,2,1,7500,10.65,0.14,0,14,0
40.0,170004,3,18,1,7500,12.68,0.04,0,17,0
40.0,177600,0,11,1,7500,11.86,0.04,0,11,0
40.0,132000,3,3,2,7500,7.9,0.06,0,11,0
40.0,85000,0,7,3,7500,11.86,0.09,0,16,0
40.0,48000,3,3,3,7500,10.99,0.16,0,15,0
40.0,50000,3,5,2,7500,14.27,0.15,0,14,0
40.0,64000,3,2,3,7200,6.62,0.11,0,11,0
40.0,32400,0,12,5,7125,7.51,0.23,0,11,0
40.0,69930,0,8,4,7125,6.62,0.1,0,16,0
40.0,84000,3,5,2,7000,6.91,0.08,0,13,0
40.0,149000,0,25,2,7000,10.59,0.05,0,14,0
40.0,28800,3,1,5,7000,7.49,0.25,0,13,0
40.0,150000,0,1,3,7000,11.71,0.05,0,14,0
40.0,70000,0,1,1,7000,7.29,0.1,0,16,0
40.0,100000,3,1,2,7000,9.63,0.07,0,17,0
40.0,50000,0,5,2,7000,7.49,0.14,0,11,0
40.0,55000,0,5,5,7000,9.99,0.13,0,14,0
40.0,225000,0,3,1,7000,9.99,0.03,0,16,0
40.0,75000,0,17,1,7000,5.42,0.09,0,14,0
40.0,60000,0,7,2,7000,6.76,0.12,0,16,0
40.0,125000,0,5,3,7000,11.71,0.06,0,12,0
40.0,120000,0,3,3,7000,10.65,0.06,0,13,0
40.0,30000,2,5,1,7000,9.32,0.23,0,11,0
40.0,96000,0,0,4,7000,8.94,0.07,0,16,0
40.0,120000,0,12,2,7000,5.79,0.06,0,11,0
40.0,60000,0,5,5,7000,10.0,0.12,0,14,0
40.0,27600,2,4,4,7000,11.11,0.25,0,16,0
40.0,60000,0,2,0,7000,7.88,0.12,0,11,0
40.0,60000,3,0,4,7000,8.94,0.12,0,14,0
40.0,53000,3,6,4,6800,12.84,0.13,0,11,0
40.0,48000,0,10,5,6700,5.99,0.14,0,11,0
40.0,72000,0,16,5,6400,5.79,0.09,0,15,0
40.0,45600,0,6,1,6250,9.32,0.14,0,16,0
40.0,120000,0,18,2,6000,6.03,0.05,0,14,0
40.0,63000,3,5,2,6000,7.74,0.09,0,17,0
40.0,60000,3,0,0,6000,10.65,0.1,0,14,0
40.0,54000,0,10,4,6000,7.14,0.11,0,12,0
40.0,102000,0,6,2,6000,9.99,0.06,0,16,0
40.0,30000,3,4,4,6000,7.49,0.2,0,14,0
40.0,102000,0,4,1,6000,7.51,0.06,0,11,0
40.0,120000,2,12,2,6000,8.88,0.05,0,14,0
40.0,120000,0,3,2,6000,7.14,0.05,0,14,0
40.0,95000,0,4,4,6000,12.99,0.06,1,16,0
40.0,110000,3,2,3,6000,8.94,0.05,0,13,0
40.0,61500,0,5,2,6000,11.48,0.1,0,13,0
40.0,60000,3,3,2,6000,10.99,0.1,0,16,0
40.0,50000,3,5,0,6000,14.27,0.12,0,17,0
40.0,90000,0,2,4,6000,10.62,0.07,0,16,0
40.0,92004,3,4,3,6000,10.37,0.07,0,16,0
40.0,69000,3,3,3,6000,10.0,0.09,0,11,0
40.0,72000,0,0,2,6000,5.42,0.08,0,11,0
40.0,55000,0,6,5,6000,11.99,0.11,0,14,0
40.0,90000,0,12,4,6000,11.11,0.07,0,11,0
40.0,37000,3,2,3,6000,5.99,0.16,0,16,0
40.0,140000,0,8,1,6000,9.64,0.04,0,13,0
40.0,75000,0,7,3,6000,11.12,0.08,0,16,0
40.0,142000,3,2,0,6000,10.38,0.04,0,17,0
40.0,89796,0,2,5,6000,6.62,0.07,0,17,0
40.0,60000,3,2,4,6000,8.94,0.1,0,12,0
40.0,50000,3,3,4,6000,6.76,0.12,0,12,0
40.0,39500,3,1,0,5600,7.9,0.14,0,15,0
40.0,59484,0,13,5,5500,10.99,0.09,0,10,0
40.0,64000,0,8,3,5500,10.62,0.08,0,14,0
40.0,54000,3,2,1,5500,8.59,0.1,0,11,0
40.0,25000,3,2,4,5475,6.62,0.22,0,14,0
40.0,150000,0,4,3,5200,12.69,0.03,0,11,0
40.0,37000,3,2,5,5000,9.99,0.14,0,11,0
40.0,300000,3,6,0,5000,10.37,0.02,0,11,0
40.0,154000,0,18,4,5000,16.45,0.03,1,11,0
40.0,70000,0,2,1,5000,7.88,0.07,0,16,0
40.0,60000,3,5,1,5000,7.9,0.08,0,13,0
40.0,30000,0,1,0,5000,7.14,0.17,0,13,0
40.0,80000,0,3,5,5000,5.42,0.06,0,14,0
40.0,48000,0,3,2,5000,14.27,0.1,1,15,0
40.0,32004,3,2,5,5000,9.32,0.16,0,14,0
40.0,48000,0,5,0,5000,7.51,0.1,0,16,0
40.0,75000,3,6,1,5000,11.49,0.07,0,12,0
40.0,95000,3,2,3,5000,14.79,0.05,1,14,0
40.0,90000,3,1,0,5000,13.57,0.06,1,15,0
40.0,50000,3,4,0,5000,10.37,0.1,0,14,0
40.0,45000,3,6,5,5000,14.79,0.11,1,14,0
40.0,35000,3,2,3,5000,13.22,0.14,0,15,0
40.0,130000,0,8,5,5000,13.16,0.04,1,13,0
40.0,80000,3,6,4,5000,12.87,0.06,0,13,0
40.0,36000,3,2,3,5000,10.37,0.14,0,16,0
40.0,60000,3,5,1,5000,11.86,0.08,0,12,0
40.0,70000,0,0,3,5000,11.78,0.07,1,11,0
40.0,25000,2,2,4,5000,9.62,0.2,0,15,0
40.0,36000,3,0,3,5000,13.22,0.14,0,16,0
40.0,60000,2,18,4,5000,13.85,0.08,1,15,0
40.0,54000,3,0,3,5000,5.42,0.09,0,13,0
40.0,110000,0,1,1,5000,9.63,0.05,0,11,0
40.0,50000,0,4,2,5000,7.14,0.1,0,17,0
40.0,45000,0,3,4,5000,6.99,0.11,0,15,0
40.0,54000,0,20,4,5000,7.14,0.09,0,17,0
40.0,100000,3,0,3,5000,7.75,0.05,0,17,0
40.0,55236,3,17,2,5000,15.05,0.09,1,14,0
40.0,42000,3,2,3,5000,5.79,0.12,0,15,0
40.0,36000,3,2,3,5000,9.63,0.14,0,16,0
40.0,36000,3,2,1,5000,9.99,0.14,0,17,0
40.0,60000,0,1,4,5000,11.14,0.08,0,17,0
40.0,31200,0,4,2,5000,10.65,0.16,0,11,0
40.0,54096,3,3,5,4900,10.96,0.09,0,14,0
40.0,65004,3,0,3,4800,11.28,0.08,1,11,0
40.0,69600,2,12,5,4800,7.29,0.07,0,16,0
40.0,30000,2,3,2,4800,7.29,0.16,0,13,0
40.0,105000,0,11,3,4800,10.59,0.05,0,17,0
40.0,70000,3,12,5,4500,5.79,0.06,0,15,0
40.0,75000,0,2,1,4400,6.99,0.06,0,12,0
40.0,63000,0,3,1,4000,6.92,0.06,0,13,0
40.0,30000,3,0,1,4000,11.83,0.13,0,12,0
40.0,42000,3,0,1,4000,14.65,0.1,0,16,0
40.0,50000,3,2,4,4000,13.47,0.08,1,17,0
40.0,54000,0,2,4,4000,12.42,0.07,0,12,0
40.0,65000,0,2,1,4000,10.99,0.06,0,11,0
40.0,50000,3,1,0,4000,14.27,0.08,1,17,0
40.0,36000,3,2,1,4000,14.26,0.11,1,12,0
40.0,60000,3,2,1,3600,7.66,0.06,0,12,0
40.0,60000,3,3,1,3600,16.89,0.06,0,17,0
40.0,20000,3,4,5,3600,13.11,0.17,1,11,0
40.0,55182,3,0,5,3500,6.99,0.06,0,12,0
40.0,35000,3,1,3,3500,14.27,0.1,1,16,0
40.0,68000,0,4,2,3500,5.42,0.05,0,14,0
40.0,48000,0,18,5,3500,11.99,0.07,0,14,0
40.0,74400,0,0,3,3500,7.29,0.05,0,14,0
40.0,35820,3,0,4,3275,8.88,0.09,0,6,0
40.0,50000,0,3,2,3250,10.37,0.07,0,17,0
40.0,65000,0,1,2,3100,7.29,0.05,0,16,0
40.0,50000,0,0,2,3000,6.03,0.06,0,17,0
40.0,27600,2,16,5,3000,14.27,0.11,0,17,0
40.0,60000,0,7,3,3000,7.74,0.05,0,13,0
40.0,48000,3,15,4,3000,11.78,0.06,1,17,0
40.0,77500,3,3,1,3000,14.72,0.04,1,16,0
40.0,50000,0,6,2,3000,5.42,0.06,0,11,0
40.0,50000,3,3,3,3000,12.53,0.06,0,16,0
40.0,50000,3,1,3,3000,9.99,0.06,0,15,0
40.0,60000,0,12,2,3000,10.0,0.05,0,14,0
40.0,60000,0,0,2,3000,7.68,0.05,0,15,0
40.0,43000,3,1,3,3000,9.99,0.07,0,15,0
40.0,90000,0,4,0,3000,12.53,0.03,0,17,0
40.0,19200,3,4,0,3000,12.99,0.16,1,15,0
40.0,38000,0,2,3,3000,6.39,0.08,0,14,0
40.0,50000,0,2,2,3000,7.29,0.06,0,13,0
40.0,28800,3,2,4,2800,7.88,0.1,0,14,0
40.0,60000,3,2,5,2500,11.49,0.04,0,14,0
40.0,25000,3,2,4,2500,11.71,0.1,0,13,0
40.0,42000,0,18,5,2500,9.99,0.06,0,14,0
40.0,60000,0,5,4,2500,7.49,0.04,0,11,0
40.0,60000,3,2,3,2500,11.48,0.04,0,13,0
40.0,16800,3,0,5,2450,8.94,0.15,0,14,0
40.0,62496,3,0,1,2400,12.53,0.04,1,14,0
40.0,49500,3,0,4,2400,14.27,0.05,1,13,0
40.0,30000,3,4,3,2000,7.9,0.07,0,13,0
40.0,34800,3,6,3,2000,9.99,0.06,0,16,0
40.0,50000,0,5,2,2000,8.49,0.04,0,11,0
40.0,42000,3,2,4,2000,12.99,0.05,1,14,0
40.0,14400,3,0,5,2000,10.37,0.14,0,11,0
40.0,62400,3,4,3,2000,13.8,0.03,1,16,0
40.0,77000,0,2,4,2000,10.75,0.03,0,12,0
40.0,42000,2,21,3,2000,11.36,0.05,0,15,0
40.0,350000,2,16,4,2000,11.49,0.06,0,13,0
40.0,60000,3,1,1,2000,11.49,0.03,0,14,0
40.0,24449,2,2,1,2000,12.84,0.08,1,12,0
40.0,75000,3,2,2,1800,11.12,0.02,0,17,0
40.0,48000,0,0,0,1500,7.68,0.03,0,17,0
40.0,18700,3,2,3,1500,12.87,0.08,1,15,0
40.0,36900,3,0,1,1500,10.65,0.04,0,13,0
40.0,45000,0,2,1,1500,7.4,0.03,0,14,0
40.0,77367,0,11,1,1500,6.17,0.02,0,17,0
40.0,50000,3,0,0,1500,11.71,0.03,0,16,0
40.0,14400,3,3,5,1500,7.29,0.1,0,14,0
40.0,42000,2,8,3,1200,7.29,0.03,0,14,0
40.0,29000,3,0,1,1000,8.0,0.03,0,12,0
40.0,38000,3,1,1,1000,10.95,0.03,0,11,0
40.0,68000,0,5,1,1000,8.0,0.01,0,13,0
40.0,85000,0,18,5,1000,10.36,0.01,0,17,0
40.0,28800,3,2,4,1000,10.65,0.03,0,14,0
20.0,127000,0,2,0,24250,15.31,0.19,0,4,1
20.0,95950,3,2,1,28250,14.54,0.27,0,4,1
20.0,59000,3,1,4,16800,12.42,0.29,0,2,1
21.0,30000,3,5,2,6500,14.27,0.22,0,4,1
21.0,31000,3,5,1,10000,11.49,0.32,0,2,1
21.0,30000,3,0,0,8500,19.04,0.27,1,2,1
21.0,37000,3,2,3,14000,12.61,0.38,0,3,1
21.0,30000,0,2,3,5000,15.7,0.17,0,3,1
21.0,15600,3,0,0,5000,10.99,0.32,0,3,1
21.0,33996,3,5,3,15000,14.96,0.44,0,2,1
21.0,28000,0,5,0,6000,15.62,0.21,1,2,1
21.0,36588,3,5,0,1000,14.61,0.03,1,4,1
21.0,34800,3,0,5,9600,17.27,0.28,1,3,1
21.0,44000,3,4,0,12000,12.86,0.27,0,4,1
21.0,29000,3,2,4,6000,15.62,0.21,0,2,1
21.0,90000,3,5,2,7200,12.69,0.08,0,2,1
21.0,30000,3,5,1,13250,11.49,0.44,0,2,1
21.0,34000,0,3,2,12000,13.79,0.36,0,2,1
21.0,24000,2,0,2,6100,13.35,0.26,1,2,1
21.0,52000,3,2,4,18500,15.33,0.36,0,4,1
21.0,38004,3,5,1,3000,10.75,0.08,0,2,1
21.0,34000,0,5,2,6000,12.69,0.18,0,2,1
21.0,59000,3,5,2,6000,11.89,0.1,0,2,1
21.0,70553,3,5,5,10000,13.49,0.14,0,4,1
21.0,30000,3,1,1,12000,12.53,0.4,1,4,1
21.0,67000,3,5,3,25000,10.25,0.37,0,2,1
21.0,35000,3,1,1,15000,11.83,0.43,0,2,1
21.0,35400,3,3,1,13250,16.89,0.38,0,3,1
21.0,34000,3,5,1,10000,11.71,0.29,0,4,1
21.0,30000,3,0,3,1500,15.62,0.05,0,2,1
21.0,88000,3,3,2,17600,16.35,0.19,0,2,1
21.0,30000,3,3,4,6000,12.42,0.2,0,2,1
21.0,32000,3,2,0,1000,16.45,0.03,0,4,1
21.0,42000,0,4,5,5200,17.27,0.12,1,2,1
21.0,36000,3,5,0,10400,14.84,0.3,1,2,1
21.0,25200,3,0,4,9600,8.94,0.39,0,4,1
21.0,49000,3,2,3,6000,15.31,0.12,1,4,1
21.0,29004,3,0,4,5000,17.49,0.17,1,3,1
21.0,24000,3,0,1,1000,14.72,0.04,1,2,1
21.0,34000,3,2,4,7500,14.59,0.23,0,3,1
21.0,70000,3,5,1,23000,14.54,0.34,1,4,1
21.0,32000,3,6,0,15000,7.9,0.47,0,2,1
21.0,36000,3,6,3,12000,7.88,0.33,0,3,1
21.0,24996,3,0,0,5000,10.99,0.2,0,4,1
21.0,24000,3,2,3,3000,11.49,0.13,0,3,1
21.0,29000,3,6,3,5000,6.62,0.17,0,3,1
21.0,45000,3,1,0,15000,9.25,0.33,0,2,1
21.0,49000,0,5,5,7500,14.96,0.15,1,4,1
21.0,78000,3,5,0,25000,12.53,0.32,0,3,1
21.0,22992,3,3,1,5000,13.57,0.22,0,2,1
21.0,24000,3,4,4,9600,14.27,0.4,0,4,1
21.0,27600,3,4,0,7500,13.06,0.27,1,3,1
21.0,71711,0,5,1,10000,10.65,0.14,0,4,1
21.0,19000,3,3,3,5000,12.87,0.26,1,4,1
21.0,54000,3,2,1,5000,13.17,0.09,0,4,1
21.0,34000,3,2,5,12250,14.72,0.36,1,3,1
21.0,14400,3,2,4,4000,10.99,0.26,0,4,1
21.0,35000,3,5,1,12000,11.71,0.34,0,2,1
21.0,42000,0,5,4,3000,15.57,0.07,1,3,1
21.0,28800,3,2,0,2800,16.77,0.1,1,3,1
21.0,42000,3,5,2,1000,13.49,0.02,1,2,1
21.0,30000,3,6,0,8000,11.71,0.27,0,2,1
21.0,158004,3,2,2,5000,14.84,0.32,1,3,1
21.0,24000,3,0,2,7000,14.96,0.29,1,2,1
21.0,32400,3,1,2,9200,12.69,0.28,0,3,1
21.0,33996,3,2,3,5000,14.96,0.14,0,2,1
21.0,29000,0,0,5,2400,12.53,0.09,0,2,1
21.0,25200,3,5,2,7000,13.48,0.28,0,2,1
21.0,34000,3,0,0,10000,6.54,0.29,0,3,1
21.0,30000,3,2,0,12000,13.72,0.4,1,4,1
21.0,33996,3,0,4,10000,15.31,0.29,1,3,1
21.0,38000,3,5,1,12500,9.91,0.34,0,2,1
21.0,44000,3,5,3,15000,13.11,0.34,1,3,1
21.0,50000,3,2,1,18000,10.62,0.36,0,2,1
21.0,49000,3,5,2,3000,16.49,0.06,0,3,1
21.0,28800,3,2,3,12250,13.16,0.4,1,3,1
21.0,30992,3,3,4,8400,14.72,0.26,1,3,1
21.0,55000,3,0,3,6400,13.24,0.12,0,2,1
21.0,60000,0,5,0,10000,16.89,0.17,0,2,1
21.0,34000,3,2,5,4500,17.27,0.13,0,3,1
21.0,32400,0,5,2,2500,14.72,0.08,1,3,1
21.0,30000,0,5,0,2000,14.26,0.07,1,2,1
21.0,33012,3,5,3,12200,10.99,0.37,0,4,1
21.0,91800,0,5,1,25000,16.77,0.23,1,3,1
21.0,30000,3,5,4,10800,9.63,0.35,0,2,1
