age,income,home_ownership_enc,emplyment_length,loan_intent_enc,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_enc,credit_history_length,max_allowed_loan
40.0,38400,3,2,4,8000,12.42,0.21,0,11,8000
40.0,89440,2,8,2,8000,11.86,0.09,0,16,8000
40.0,150000,0,3,2,8000,9.62,0.05,0,17,8000
40.0,30000,3,0,3,8000,9.63,0.27,0,14,8000
40.0,60000,3,5,4,8000,7.51,0.13,0,15,8000
40.0,45000,3,3,3,8000,10.38,0.18,0,17,8000
40.0,40000,3,2,5,8000,11.36,0.2,0,14,8000
40.0,90000,0,12,5,8000,7.66,0.09,0,14,8000
40.0,115600,0,4,2,8000,7.88,0.07,0,11,8000
40.0,85000,0,18,5,8000,7.88,0.09,0,17,8000
40.0,36000,3,5,3,7600,6.03,0.21,0,14,7600
40.0,55000,3,2,1,7500,10.65,0.14,0,14,7500
40.0,170004,3,18,1,7500,12.68,0.04,0,17,7500
40.0,177600,0,11,1,7500,11.86,0.04,0,11,7500
40.0,132000,3,3,2,7500,7.9,0.06,0,11,7500
40.0,85000,0,7,3,7500,11.86,0.09,0,16,7500
40.0,48000,3,3,3,7500,10.99,0.16,0,15,7500
40.0,50000,3,5,2,7500,14.27,0.15,0,14,7500
40.0,64000,3,2,3,7200,6.62,0.11,0,11,7200
40.0,32400,0,12,5,7125,7.51,0.23,0,11,7125
40.0,69930,0,8,4,7125,6.62,0.1,0,16,7125
40.0,84000,3,5,2,7000,6.91,0.08,0,13,7000
40.0,149000,0,25,2,7000,10.59,0.05,0,14,7000
40.0,28800,3,1,5,7000,7.49,0.25,0,13,7000
40.0,150000,0,1,3,7000,11.71,0.05,0,14,7000
40.0,70000,0,1,1,7000,7.29,0.1,0,16,7000
40.0,100000,3,1,2,7000,9.63,0.07,0,17,7000
40.0,50000,0,5,2,7000,7.49,0.14,0,11,7000
40.0,55000,0,5,5,7000,9.99,0.13,0,14,7000
40.0,225000,0,3,1,7000,9.99,0.03,0,16,7000
40.0,75000,0,17,1,7000,5.42,0.09,0,14,7000
40.0,60000,0,7,2,7000,6.76,0.12,0,16,7000
40.0,125000,0,5,3,7000,11.71,0.06,0,12,7000
40.0,120000,0,3,3,7000,10.65,0.06,0,13,7000
40.0,30000,2,5,1,7000,9.32,0.23,0,11,7000
40.0,96000,0,0,4,7000,8.94,0.07,0,16,7000
40.0,120000,0,12,2,7000,5.79,0.06,0,11,7000
40.0,60000,0,5,5,7000,10.0,0.12,0,14,7000
40.0,27600,2,4,4,7000,11.11,0.25,0,16,7000
40.0,60000,0,2,0,7000,7.88,0.12,0,11,7000
40.0,60000,3,0,4,7000,8.94,0.12,0,14,7000
40.0,53000,3,6,4,6800,12.84,0.13,0,11,6800
40.0,48000,0,10,5,6700,5.99,0.14,0,11,6700
40.0,72000,0,16,5,6400,5.79,0.09,0,15,6400
40.0,45600,0,6,1,6250,9.32,0.14,0,16,6250
40.0,120000,0,18,2,6000,6.03,0.05,0,14,6000
40.0,63000,3,5,2,6000,7.74,0.09,0,17,6000
40.0,60000,3,0,0,6000,10.65,0.1,0,14,6000
40.0,54000,0,10,4,6000,7.14,0.11,0,12,6000
40.0,102000,0,6,2,6000,9.99,0.06,0,16,6000
40.0,30000,3,4,4,6000,7.49,0.2,0,14,6000
40.0,102000,0,4,1,6000,7.51,0.06,0,11,6000
40.0,120000,2,12,2,6000,8.88,0.05,0,14,6000
40.0,120000,0,3,2,6000,7.14,0.05,0,14,6000
40.0,95000,0,4,4,6000,12.99,0.06,1,16,6000
40.0,110000,3,2,3,6000,8.94,0.05,0,13,6000
40.0,61500,0,5,2,6000,11.48,0.1,0,13,6000
40.0,60000,3,3,2,6000,10.99,0.1,0,16,6000
40.0,50000,3,5,0,6000,14.27,0.12,0,17,6000
40.0,90000,0,2,4,6000,10.62,0.07,0,16,6000
40.0,92004,3,4,3,6000,10.37,0.07,0,16,6000
40.0,69000,3,3,3,6000,10.0,0.09,0,11,6000
40.0,72000,0,0,2,6000,5.42,0.08,0,11,6000
40.0,55000,0,6,5,6000,11.99,0.11,0,14,6000
40.0,90000,0,12,4,6000,11.11,0.07,0,11,6000
40.0,37000,3,2,3,6000,5.99,0.16,0,16,6000
40.0,140000,0,8,1,6000,9.64,0.04,0,13,6000
40.0,75000,0,7,3,6000,11.12,0.08,0,16,6000
40.0,142000,3,2,0,6000,10.38,0.04,0,17,6000
40.0,89796,0,2,5,6000,6.62,0.07,0,17,6000
40.0,60000,3,2,4,6000,8.94,0.1,0,12,6000
40.0,50000,3,3,4,6000,6.76,0.12,0,12,6000
40.0,39500,3,1,0,5600,7.9,0.14,0,15,5600
40.0,59484,0,13,5,5500,10.99,0.09,0,10,5500
40.0,64000,0,8,3,5500,10.62,0.08,0,14,5500
40.0,54000,3,2,1,5500,8.59,0.1,0,11,5500
40.0,25000,3,2,4,5475,6.62,0.22,0,14,5475
40.0,150000,0,4,3,5200,12.69,0.03,0,11,5200
40.0,37000,3,2,5,5000,9.99,0.14,0,11,5000
40.0,300000,3,6,0,5000,10.37,0.02,0,11,5000
40.0,154000,0,18,4,5000,16.45,0.03,1,11,5000
40.0,70000,0,2,1,5000,7.88,0.07,0,16,5000
40.0,60000,3,5,1,5000,7.9,0.08,0,13,5000
40.0,30000,0,1,0,5000,7.14,0.17,0,13,5000
40.0,80000,0,3,5,5000,5.42,0.06,0,14,5000
40.0,48000,0,3,2,5000,14.27,0.1,1,15,5000
40.0,32004,3,2,5,5000,9.32,0.16,0,14,5000
40.0,48000,0,5,0,5000,7.51,0.1,0,16,5000
40.0,75000,3,6,1,5000,11.49,0.07,0,12,5000
40.0,95000,3,2,3,5000,14.79,0.05,1,14,5000
40.0,90000,3,1,0,5000,13.57,0.06,1,15,5000
40.0,50000,3,4,0,5000,10.37,0.1,0,14,5000
40.0,45000,3,6,5,5000,14.79,0.11,1,14,5000
40.0,35000,3,2,3,5000,13.22,0.14,0,15,5000
40.0,130000,0,8,5,5000,13.16,0.04,1,13,5000
40.0,80000,3,6,4,5000,12.87,0.06,0,13,5000
40.0,36000,3,2,3,5000,10.37,0.14,0,16,5000
40.0,60000,3,5,1,5000,11.86,0.08,0,12,5000
40.0,70000,0,0,3,5000,11.78,0.07,1,11,5000
40.0,25000,2,2,4,5000,9.62,0.2,0,15,5000
40.0,36000,3,0,3,5000,13.22,0.14,0,16,5000
40.0,60000,2,18,4,5000,13.85,0.08,1,15,5000
40.0,54000,3,0,3,5000,5.42,0.09,0,13,5000
40.0,110000,0,1,1,5000,9.63,0.05,0,11,5000
40.0,50000,0,4,2,5000,7.14,0.1,0,17,5000
40.0,45000,0,3,4,5000,6.99,0.11,0,15,5000
40.0,54000,0,20,4,5000,7.14,0.09,0,17,5000
40.0,100000,3,0,3,5000,7.75,0.05,0,17,5000
40.0,55236,3,17,2,5000,15.05,0.09,1,14,5000
40.0,42000,3,2,3,5000,5.79,0.12,0,15,5000
40.0,36000,3,2,3,5000,9.63,0.14,0,16,5000
40.0,36000,3,2,1,5000,9.99,0.14,0,17,5000
40.0,60000,0,1,4,5000,11.14,0.08,0,17,5000
40.0,31200,0,4,2,5000,10.65,0.16,0,11,5000
40.0,54096,3,3,5,4900,10.96,0.09,0,14,4900
40.0,65004,3,0,3,4800,11.28,0.08,1,11,4800
40.0,69600,2,12,5,4800,7.29,0.07,0,16,4800
40.0,30000,2,3,2,4800,7.29,0.16,0,13,4800
40.0,105000,0,11,3,4800,10.59,0.05,0,17,4800
40.0,70000,3,12,5,4500,5.79,0.06,0,15,4500
40.0,75000,0,2,1,4400,6.99,0.06,0,12,4400
40.0,63000,0,3,1,4000,6.92,0.06,0,13,4000
40.0,30000,3,0,1,4000,11.83,0.13,0,12,4000
40.0,42000,3,0,1,4000,14.65,0.1,0,16,4000
40.0,50000,3,2,4,4000,13.47,0.08,1,17,4000
40.0,54000,0,2,4,4000,12.42,0.07,0,12,4000
40.0,65000,0,2,1,4000,10.99,0.06,0,11,4000
40.0,50000,3,1,0,4000,14.27,0.08,1,17,4000
40.0,36000,3,2,1,4000,14.26,0.11,1,12,4000
40.0,60000,3,2,1,3600,7.66,0.06,0,12,3600
40.0,60000,3,3,1,3600,16.89,0.06,0,17,3600
40.0,20000,3,4,5,3600,13.11,0.17,1,11,3600
40.0,55182,3,0,5,3500,6.99,0.06,0,12,3500
40.0,35000,3,1,3,3500,14.27,0.1,1,16,3500
40.0,68000,0,4,2,3500,5.42,0.05,0,14,3500
40.0,48000,0,18,5,3500,11.99,0.07,0,14,3500
40.0,74400,0,0,3,3500,7.29,0.05,0,14,3500
40.0,35820,3,0,4,3275,8.88,0.09,0,6,3275
40.0,50000,0,3,2,3250,10.37,0.07,0,17,3250
40.0,65000,0,1,2,3100,7.29,0.05,0,16,3100
40.0,50000,0,0,2,3000,6.03,0.06,0,17,3000
40.0,27600,2,16,5,3000,14.27,0.11,0,17,3000
40.0,60000,0,7,3,3000,7.74,0.05,0,13,3000
40.0,48000,3,15,4,3000,11.78,0.06,1,17,3000
40.0,77500,3,3,1,3000,14.72,0.04,1,16,3000
40.0,50000,0,6,2,3000,5.42,0.06,0,11,3000
40.0,50000,3,3,3,3000,12.53,0.06,0,16,3000
40.0,50000,3,1,3,3000,9.99,0.06,0,15,3000
40.0,60000,0,12,2,3000,10.0,0.05,0,14,3000
40.0,60000,0,0,2,3000,7.68,0.05,0,15,3000
40.0,43000,3,1,3,3000,9.99,0.07,0,15,3000
40.0,90000,0,4,0,3000,12.53,0.03,0,17,3000
40.0,19200,3,4,0,3000,12.99,0.16,1,15,3000
40.0,38000,0,2,3,3000,6.39,0.08,0,14,3000
40.0,50000,0,2,2,3000,7.29,0.06,0,13,3000
40.0,28800,3,2,4,2800,7.88,0.1,0,14,2800
40.0,60000,3,2,5,2500,11.49,0.04,0,14,2500
40.0,25000,3,2,4,2500,11.71,0.1,0,13,2500
40.0,42000,0,18,5,2500,9.99,0.06,0,14,2500
40.0,60000,0,5,4,2500,7.49,0.04,0,11,2500
40.0,60000,3,2,3,2500,11.48,0.04,0,13,2500
40.0,16800,3,0,5,2450,8.94,0.15,0,14,2450
40.0,62496,3,0,1,2400,12.53,0.04,1,14,2400
40.0,49500,3,0,4,2400,14.27,0.05,1,13,2400
40.0,30000,3,4,3,2000,7.9,0.07,0,13,2000
40.0,34800,3,6,3,2000,9.99,0.06,0,16,2000
40.0,50000,0,5,2,2000,8.49,0.04,0,11,2000
40.0,42000,3,2,4,2000,12.99,0.05,1,14,2000
40.0,14400,3,0,5,2000,10.37,0.14,0,11,2000
40.0,62400,3,4,3,2000,13.8,0.03,1,16,2000
40.0,77000,0,2,4,2000,10.75,0.03,0,12,2000
40.0,42000,2,21,3,2000,11.36,0.05,0,15,2000
40.0,350000,2,16,4,2000,11.49,0.06,0,13,2000
40.0,60000,3,1,1,2000,11.49,0.03,0,14,2000
40.0,24449,2,2,1,2000,12.84,0.08,1,12,2000
40.0,75000,3,2,2,1800,11.12,0.02,0,17,1800
40.0,48000,0,0,0,1500,7.68,0.03,0,17,1500
40.0,18700,3,2,3,1500,12.87,0.08,1,15,1500
40.0,36900,3,0,1,1500,10.65,0.04,0,13,1500
40.0,45000,0,2,1,1500,7.4,0.03,0,14,1500
40.0,77367,0,11,1,1500,6.17,0.02,0,17,1500
40.0,50000,3,0,0,1500,11.71,0.03,0,16,1500
40.0,14400,3,3,5,1500,7.29,0.1,0,14,1500
40.0,42000,2,8,3,1200,7.29,0.03,0,14,1200
40.0,29000,3,0,1,1000,8.0,0.03,0,12,1000
40.0,38000,3,1,1,1000,10.95,0.03,0,11,1000
40.0,68000,0,5,1,1000,8.0,0.01,0,13,1000
40.0,85000,0,18,5,1000,10.36,0.01,0,17,1000
40.0,28800,3,2,4,1000,10.65,0.03,0,14,1000
25.0,4200,3,5,3,5000,6.76,0.12,0,4,232
21.0,12600,0,1,1,12000,5.99,0.1,0,2,1207
21.0,12000,2,0,5,8800,17.39,0.07,0,2,3780
24.0,5000,3,0,1,1000,13.06,0.2,1,4,4992
28.0,10000,2,12,5,8000,7.51,0.08,0,9,5975
22.0,9600,3,4,1,3500,12.18,0.36,0,2,7047
21.0,12000,2,0,3,5000,13.06,0.41,1,4,7585
21.0,9600,3,1,4,1000,12.68,0.1,0,2,9073
22.0,9600,3,1,1,1200,14.72,0.13,0,3,9352
22.0,9600,3,2,5,1000,8.0,0.1,0,4,9553
21.0,12000,3,0,5,3000,10.39,0.25,0,2,9588
22.0,14400,2,0,4,6000,9.63,0.04,0,4,9823
21.0,12000,2,0,5,2000,11.14,0.17,0,4,10591
25.0,9600,3,1,0,1200,11.14,0.13,0,2,10791
28.0,12000,2,2,4,5825,7.49,0.51,0,7,10954
25.0,9600,3,0,3,1000,14.35,0.1,0,2,10992
22.0,12000,3,0,1,1775,12.72,0.14,0,4,11416
22.0,24960,2,6,1,16000,10.99,0.07,0,4,11428
23.0,12000,2,0,5,2000,10.74,0.17,0,2,11790
21.0,21600,2,2,3,10750,13.85,0.51,0,3,11908
22.0,12360,2,1,3,1600,13.16,0.13,0,4,11987
27.0,12000,3,3,3,4000,7.9,0.3,0,10,12183
28.0,9600,0,2,0,1200,7.88,0.13,0,7,12230
25.0,15500,3,3,0,7000,14.22,0.05,1,3,12354
22.0,25000,0,0,1,15000,13.67,0.06,0,4,12473
24.0,12000,3,0,3,1800,12.84,0.14,0,4,12590
21.0,14400,3,0,0,2500,10.37,0.18,0,3,12610
29.0,12000,2,5,4,4750,12.73,0.4,0,6,12630
22.0,13200,3,0,5,1875,11.14,0.14,0,2,12635
24.0,12000,3,0,4,1600,13.11,0.15,0,2,12790
23.0,12000,3,0,1,1000,12.68,0.08,1,2,12793
24.0,40000,0,8,1,35000,17.58,0.09,0,4,12955
21.0,14400,3,0,3,2100,13.35,0.15,1,2,13010
21.0,14400,3,3,0,1875,13.72,0.13,0,3,13236
21.0,18000,2,3,3,5300,15.27,0.29,0,3,13585
21.0,15360,3,1,0,2500,5.42,0.15,0,4,13618
21.0,15000,3,0,4,2100,14.17,0.15,0,2,13640
21.0,15000,3,2,5,2000,10.74,0.13,0,2,13741
21.0,15000,3,3,4,1825,11.49,0.12,0,4,13916
25.0,14400,3,2,3,4000,10.62,0.27,0,4,13984
21.0,20004,2,2,3,7000,10.99,0.32,0,2,13987
23.0,14000,3,0,1,2100,7.14,0.15,0,3,13989
21.0,14400,3,0,4,1000,7.51,0.07,0,2,14113
21.0,15120,0,5,0,1500,10.38,0.1,0,2,14368
21.0,15600,3,0,0,2000,7.29,0.13,0,2,14371
21.0,18000,2,3,3,4500,14.72,0.25,0,4,14386
27.0,12000,3,0,3,1800,12.41,0.15,1,6,14389
21.0,15360,2,1,2,1600,12.53,0.1,0,4,14520
24.0,16800,2,2,2,5600,11.99,0.3,0,4,14542
22.0,18240,2,0,4,5500,6.62,0.3,0,2,14548
22.0,14400,2,0,3,1200,7.74,0.08,0,4,14632
22.0,15000,3,1,3,1800,10.08,0.12,0,2,14691
21.0,15000,2,0,1,1000,14.35,0.07,0,3,14743
23.0,14400,3,0,3,1750,6.54,0.13,0,2,14800
23.0,26000,2,5,4,15000,9.63,0.05,0,2,14872
21.0,20000,3,2,3,6000,7.14,0.3,0,2,14984
21.0,20000,2,1,4,6000,15.05,0.3,1,2,14984
23.0,14400,3,0,1,1500,12.84,0.1,1,2,15051
23.0,14400,3,0,3,1500,7.29,0.1,0,3,15051
22.0,22800,2,0,5,10000,16.45,0.42,0,4,15058
25.0,15000,2,2,5,3600,11.71,0.24,0,3,15135
21.0,24000,2,3,5,10000,9.91,0.42,0,4,15179
21.0,24000,2,3,5,10000,8.9,0.42,0,3,15179
24.0,14400,3,3,5,2000,10.65,0.14,0,4,15269
22.0,16400,2,3,5,2750,15.27,0.16,1,4,15278
23.0,18000,2,3,3,5400,7.9,0.3,0,4,15283
26.0,15000,2,0,3,4200,10.59,0.29,0,3,15283
26.0,13200,3,0,0,1825,10.74,0.14,0,2,15324
21.0,15600,2,1,5,1000,14.65,0.06,1,3,15373
21.0,18000,2,3,1,3500,11.49,0.19,0,4,15388
